movieId,doubanId
1,3011235
2,3443389
3,6778368
4,3610047
5,3233635
6,4843637
8,4915107
9,4271894
10,3742360
11,3000078
12,3732780
13,2269893
15,3793023
16,3745292
17,3114200
18,3412830
19,3541415
20,1292063
21,3737102
22,3299241
23,4305436
24,3217122
25,3629232
26,2072848
27,1308451
28,1799000
29,3626365
30,1308773
31,2994843
32,1921917
33,1889643
34,1860073
35,4837832
36,1844079
37,3371652
38,3818971
39,3899162
40,3823881
41,4058796
42,1308974
43,1783772
44,1981642
45,1578685
46,1480808
48,2378635
50,4158024
51,3728249
53,1432639
54,1470732
55,3566709
56,3338821
57,1963965
58,1987463
59,1316626
60,1298270
61,1422233
62,1464067
67,1889906
69,1962623
71,4204586
72,4154555
73,1408100
74,1756584
75,1326038
76,1963066
77,1302930
78,1300395
79,3291178
80,3436615
81,3560787
82,3148027
83,4066206
84,1304900
85,1307072
86,2998270
87,3011091
88,2002924
89,1419297
90,2085721
91,1292370
92,1295124
93,1292215
94,1580620
95,1316563
96,1292722
97,2282449
98,1308817
99,1309101
100,2335116
101,3824672
102,1892531
103,3059036
104,1652587
105,1885124
106,2299395
107,3305722
108,3626416
109,3005875
110,1920799
111,3072086
113,2136477
114,1829230
115,2300450
116,3006772
117,2121860
118,1900840
119,1291572
120,1291571
121,1291552
122,1308798
123,1308587
124,2131459
125,1905462
126,1914652
127,3111355
128,1783457
129,2037012
130,1292289
131,1937502
132,1485260
133,1890157
134,3284269
135,1920796
136,2215609
137,2357162
138,1499148
139,2268359
140,1309163
141,1306213
142,1418200
143,1920805
144,1441238
145,1474180
146,1981242
147,2910660
148,1767042
149,3158990
150,1292052
151,1292220
152,2053515
155,1309060
156,2129039
157,1303907
158,3543940
159,3730702
160,3730636
161,3074408
162,2976111
163,1796939
164,3880545
165,1299765
166,1428069
167,4023638
168,5250583
169,4822848
170,1978709
171,4097023
173,3269018
174,4145476
175,3157605
176,3660583
177,2132412
178,4271832
179,3313801
180,1297359
182,1291561
183,3569915
184,1293318
185,1959877
186,1418752
187,5344178
188,3041281
189,4151110
190,3103683
193,1895120
194,3346464
195,1299107
196,3563200
197,4111416
198,3041294
199,3072185
200,3792816
201,3813779
202,1295933
204,4312232
206,3285088
207,1292287
211,3804470
213,1298040
214,1296629
215,1297447
216,3805091
217,4023433
219,1294564
220,1293765
221,1308808
222,3279080
223,4133814
224,3120852
225,4723944
226,4134631
227,4173583
228,3673923
229,2301701
230,2131654
231,4237879
232,3074503
233,4133988
234,3006424
235,3150816
236,3792799
237,2361823
238,1292401
239,2132477
240,1308345
241,1437342
242,1291578
243,2353023
244,3114117
245,3820191
246,3736637
247,3041806
248,3578981
251,4062922
252,3148748
253,3777800
254,3569954
255,2334904
256,3440481
257,2257759
258,3072894
260,2295401
261,1291818
262,1300618
263,1309011
265,1853176
266,3011308
267,2057552
268,3259993
269,1305324
270,1297018
271,1309084
272,2251924
273,1304607
274,1305804
275,1929497
276,1509868
277,1298909
278,3754946
280,3804746
281,1306439
282,1291842
284,4122701
285,4111335
286,3829512
287,3442220
288,2997155
289,3304014
290,3670447
291,3240208
292,3264045
293,3101989
294,3550132
295,3041753
296,3102668
297,1396313
298,2156528
299,3387546
300,3103678
301,3734112
302,3447591
303,3412882
304,3212120
305,2081098
306,2338058
307,2213591
308,1296185
309,2122766
310,3001472
311,1291549
312,2161696
313,3126187
314,2294568
315,3023155
316,1950198
317,1949320
318,1474185
319,1309020
320,1309172
321,3552301
322,1292064
323,1866462
324,2054026
325,2054933
326,2213597
327,2082013
328,2124703
329,1298346
330,1307043
331,1307868
332,1307849
333,1304282
334,1307740
335,1438093
336,1299035
337,1388196
338,1302769
339,1299649
340,1306334
341,1300246
342,1308232
343,1308827
344,1305713
345,1297291
346,1308130
347,2052978
348,2359431
349,2135981
350,1892510
351,2132120
352,1309203
353,1297102
